Address,Beds,Baths,Price,Square Foot
"522 Hancock Dr   SE, Atlanta, GA 30306",3bd,3ba,404990,2211
"1149 Tucker Pl SW, Atlanta, GA 30310",3bd,1ba,219900,1708
"795 Hammond Dr #704, Sandy Springs, GA 30328",1bd,1ba,179900,688
"421 Blackland Rd NW, Atlanta, GA 30342",7bd,12ba,15000000,17300
"4172 Ashwoody Trl, Atlanta, GA 30319",4bd,3ba,650000,2070
"1867 Myrtle Dr   SW #26, Atlanta, GA 30311",3bd,3ba,99900,1368
"1903 Roble Dr, Atlanta, GA 30349",5bd,3ba,315000,2580
"467 Burlington Rd, Atlanta, GA 30307",5bd,4ba,1298000,3912
"4772 Orange Dr   SW, Atlanta, GA 30331",4bd,3ba,415565,3021
"827 Flamingo Dr SW, Atlanta, GA 30311",Studio,Undisclosed,99000,Undisclosed
"3334 Peachtree Rd NE #904, Atlanta, GA 30326",1bd,1ba,270000,793
"146 Dahlgren St, Atlanta, GA 30317",3bd,2ba,695000,1974
"200 River Vista Dr #530, Sandy Springs, GA 30339",2bd,3ba,485000,1530
"855 W  Peachtree St   NE #3304, Atlanta, GA 30308",2bd,2ba,630000,1201
"542 Ralph McGill Blvd NE #7, Atlanta, GA 30312",1bd,1ba,375000,722
"1382 Lakewood Ave SE, Atlanta, GA 30315",3bd,3ba,525000,2459
"691 Catherine St SW, Atlanta, GA 30310",3bd,3ba,620000,1834
"1785 Cecilia Dr, Atlanta, GA 30316",3bd,2ba,320000,1548
"1185 N  Highland Ave NE, Atlanta, GA 30306",5bd,7ba,1985000,6498
"2791 Pearl St, Atlanta, GA 30344",2bd,1ba,275000,1104
"2276 Redwine Ave, College Park, GA 30337",Studio,Undisclosed,150000,Undisclosed
"570 Fitzgerald Pl, Atlanta, GA 30349",5bd,4ba,442000,2994
"4155 Flintlock Rd NW, Atlanta, GA 30327",6bd,7ba,1995000,4789
"3481 Lakeside Dr   NE #1702, Atlanta, GA 30326",2bd,2ba,365000,1230
"931 Martin Luther King Jr Dr   NW, Atlanta, GA 30314",Studio,Undisclosed,200000,Undisclosed
"2500 Peachtree Rd NW #508N, Atlanta, GA 30305",2bd,2ba,1200000,2338
"2503 Pine Tree Trl, Atlanta, GA 30349",3bd,3ba,160000,1466
"1280 W  Peachtree St   NW #1513, Atlanta, GA 30309",1bd,1ba,214999,625
"541 Westmeath Dr SW, Atlanta, GA 30310",2bd,1ba,225000,1095
"4237 Rickenbacker Way NE, Atlanta, GA 30342",2bd,2ba,624999,1450
"2605 Kimmeridge Dr, East Pt, GA 30344",3bd,2ba,500000,1801
"2743 Stewart Ct, Atlanta, GA 30340",3bd,3ba,600000,2457
"6160 Heards Creek Dr, Atlanta, GA 30328",6bd,7ba,1599900,5329
"2795 Peachtree Rd   NE #1402, Atlanta, GA 30305",2bd,3ba,799000,1794
"1238 Epworth St SW, Atlanta, GA 30310",4bd,3ba,599000,2103
"2184 Bonnavit Ct, Atlanta, GA 30345",5bd,3ba,665000,3196
"1261 Apple Valley Rd   NE #51, Atlanta, GA 30319",3bd,4ba,750000,3482
"3571 Tuxedo Park NW, Atlanta, GA 30305",4bd,6ba,4500000,5950
"1450 N  Riverside Cir, Sandy Springs, GA 30328",Studio,Undisclosed,475000,Undisclosed
"2875 Jerome Rd, College Park, GA 30349",3bd,3ba,224900,1068
"3820 Roswell Rd   NE #316, Atlanta, GA 30342",2bd,2ba,375000,1270
"4139 Township Pkwy, Sandy Springs, GA 30342",3bd,4ba,675000,2237
"Darwin Plan in The Villages at Oakshire, Atlanta, GA 30354",3bd,3ba,326940,1749
"5625 Windwood Rd, Atlanta, GA 30349",3bd,3ba,155000,1254
"960 Katherwood Dr SW, Atlanta, GA 30310",2bd,1ba,300000,1172
"266 Hamilton E Holmes Dr NW, Atlanta, GA 30318",3bd,2ba,329000,1056
"2236 Fairway Cir SW, Atlanta, GA 30331",3bd,3ba,125000,1072
"522 Hancock Dr   SE #9, Atlanta, GA 30306",3bd,3ba,404990,2211
"570 Fitzgerald Pl   S, Atlanta, GA 30349",5bd,4ba,442000,2994
"3481 Lakeside Dr   NE #1703, Atlanta, GA 30326",2bd,2ba,365000,1230
"1114 Highland Bluff Dr   SE #114, Atlanta, GA 30339",2bd,2ba,294900,1224
