,Address,Beds,Baths,Price,Square Foot
0,"425 Lindbergh Dr NE #D1, Atlanta, GA 30305",2bd,1ba,"$259,990","1,010 sqft"
1,"1671 Cecile Ave, Atlanta, GA 30316",4bd,2ba,"$645,000","1,998 sqft (on 0.30 acres)"
2,"214 Maple St, Hapeville, GA 30354",Studio,Undisclosed,"$125,000",Undisclosed
3,"1835 Broad Ave, East Pt, GA 30344",3bd,3ba,"$275,000","1,211 sqft"
4,"2997 Semmes St, East Pt, GA 30344",3bd,2ba,"$235,000","1,244 sqft"
5,"6765 Prelude Dr   #214, Atlanta, GA 30328",3bd,4ba,"$762,040","2,258 sqft"
6,"6753 Prelude Dr   #216, Atlanta, GA 30328",3bd,4ba,"$760,000","2,258 sqft"
7,"300 W  Peachtree St   NE #12, Atlanta, GA 30308",1bd,1ba,"$235,000",628 sqft
8,"1841 E  Farris Ave, East Pt, GA 30344",3bd,2ba,"$320,000","1,200 sqft"
9,"2300 Peachford Rd #1202, Atlanta, GA 30338",2bd,2ba,"$400,000","1,396 sqft"
10,"400 17th St NW #1334, Atlanta, GA 30363",3bd,3ba,"$359,900","1,500 sqft"
11,"Ansley Plan in Beckham Place at Morningside, Atlanta, GA 30310",3bd,4ba,"$691,995+","1,768 sqft"
12,"681 Ira St SW, Atlanta, GA 30310",3bd,1ba,"$170,000","1,200 sqft"
13,"195 Beverly Rd NE, Atlanta, GA 30309",3bd,3ba,"$1,549,000",Undisclosed
14,"3770 Peachtree Rd Plan in Ladisic Fine Homes, Atlanta, GA 30305",4bd,5ba,"$3,750,000+","6,157 sqft"
15,"1101 Collier Rd   NW #A8, Atlanta, GA 30318",2bd,2ba,"$288,000","1,020 sqft"
16,"1074 Peachtree Walk NE #310, Atlanta, GA 30309",1bd,1ba,"$264,900",720 sqft
17,"1697 Chateau Dr, Atlanta, GA 30338",5bd,4ba,"$635,000","3,375 sqft (on 0.50 acres)"
18,"1385 Campbellton Rd SW, Atlanta, GA 30310",3bd,2ba,"$299,000","1,140 sqft (on 0.26 acres)"
19,"1867 Jan Hill Ln, Atlanta, GA 30329",3bd,2ba,"$565,000","1,429 sqft (on 0.40 acres)"
20,"860 Peachtree St   NE #1016, Atlanta, GA 30308",1bd,1ba,"$320,000",606 sqft
21,"4038 Tilly Mill Rd, Atlanta, GA 30360",4bd,2ba,"$529,000","2,842 sqft (on 0.40 acres)"
22,"Homes Available Soon Plan in Monticello, Atlanta, GA 30354",Studio,Undisclosed,,Undisclosed
23,"1335 Parc Bench Rd   #19, Atlanta, GA 30349",3bd,3ba,"$414,900","1,465 sqft"
24,"1337 Parc Bench Rd   #20, Atlanta, GA 30349",3bd,3ba,"$404,900","1,465 sqft"
25,"71 Lucy St   SE #3, Atlanta, GA 30312",4bd,5ba,"$849,999","2,645 sqft"
26,"425 Chapel St   SW #2302, Atlanta, GA 30313",2bd,2ba,"$275,000","1,196 sqft"
27,"1051 Thomasville Estate Way, Atlanta, GA 30315",3bd,3ba,"$329,990","1,800 sqft"
28,"923 Peachtree St NE #1435, Atlanta, GA 30309",1bd,1ba,"$297,900",768 sqft
29,"879 Sims St SW, Atlanta, GA 30310",Studio,Undisclosed,"$79,900",Undisclosed
30,"1585 Woodland Ave SE, Atlanta, GA 30315",5bd,3ba,"$579,000",Undisclosed
31,"Manor Home 2 Plan in Downing Park, Atlanta, GA 30307",6bd,7ba,"$2,350,000+","4,495 sqft"
32,"Cosmos Plan in Aviary Park, Atlanta, GA 30311",3bd,3ba,"$281,900+","1,421 sqft"
33,"180 Smithdun Ln, Sandy Springs, GA 30350",4bd,4ba,"$745,000","2,855 sqft (on 0.26 acres)"
34,"3113 Lenox Rd   NE #5, Atlanta, GA 30324",3bd,4ba,"$800,000","3,300 sqft"
35,"880 Oakhill Ave SW, Atlanta, GA 30310",3bd,3ba,"$440,000","1,600 sqft"
36,"1365 Custer Way SE, Atlanta, GA 30316",4bd,4ba,"$730,000","3,576 sqft"
37,"809 Peachtree Battle Ave NW, Atlanta, GA 30327",4bd,5ba,"$2,350,000","5,105 sqft (on 2.20 acres)"
38,"1351 Paces Forest Dr NW, Atlanta, GA 30327",6bd,6ba,"$1,375,000","5,850 sqft (on 0.57 acres)"
39,"Annalise Plan in Anatole, Atlanta, GA 30331",3bd,3ba,"$301,000+","1,580 sqft"
40,"2226 Bigwood Trl, Atlanta, GA 30349",2bd,3ba,"$215,000","1,544 sqft"
41,"6585 Commonwood Pl, Atlanta, GA 30349",5bd,3ba,"$278,000","2,312 sqft (on 0.41 acres)"
42,"2164 Connally Dr, East Pt, GA 30344",3bd,2ba,"$220,000","1,440 sqft (on 0.29 acres)"
43,"924 Virginia Ave NE, Atlanta, GA 30306",3bd,2ba,"$724,900","1,826 sqft"
