Address,Beds,Baths,Price,Square Foot,Suggested Price
"874 Plainville Pl SW, Atlanta, GA 30331",4bd,2ba,289000,962,314669.96
"1671 Cecile Ave, Atlanta, GA 30316",4bd,2ba,645000,1998,653545.3
"2997 Semmes St, East Pt, GA 30344",3bd,2ba,235000,1244,406912.09
"1835 Broad Ave, East Pt, GA 30344",3bd,3ba,275000,1211,396117.8
"425 Lindbergh Dr NE #D1, Atlanta, GA 30305",2bd,1ba,259990,1010,330370.75
"1841 E  Farris Ave, East Pt, GA 30344",3bd,2ba,320000,1200,392519.7
"2300 Peachford Rd #1202, Atlanta, GA 30338",2bd,2ba,400000,1396,456631.25
"400 17th St NW #1334, Atlanta, GA 30363",3bd,3ba,359900,1500,490649.62
"790 Knox Dr SE, Atlanta, GA 30315",3bd,3ba,449900,1456,476257.24
"681 Ira St SW, Atlanta, GA 30310",3bd,1ba,170000,1200,392519.7
"1697 Chateau Dr, Atlanta, GA 30338",5bd,4ba,635000,3375,1103961.66
"1101 Collier Rd   NW #A8, Atlanta, GA 30318",2bd,2ba,288000,1020,333641.74
"1385 Campbellton Rd SW, Atlanta, GA 30310",3bd,2ba,299000,1140,372893.71
"4038 Tilly Mill Rd, Atlanta, GA 30360",4bd,2ba,529000,2842,929617.49
"1335 Parc Bench Rd   #19, Atlanta, GA 30349",3bd,3ba,414900,1465,479201.13
"1337 Parc Bench Rd   #20, Atlanta, GA 30349",3bd,3ba,404900,1465,479201.13
"71 Lucy St   SE #3, Atlanta, GA 30312",4bd,5ba,849999,2645,865178.84
"425 Chapel St   SW #2302, Atlanta, GA 30313",2bd,2ba,275000,1196,391211.3
"1051 Thomasville Estate Way, Atlanta, GA 30315",3bd,3ba,329990,1800,588779.55
"Cosmos Plan in Aviary Park, Atlanta, GA 30311",3bd,3ba,281900,1421,464808.74
"180 Smithdun Ln, Sandy Springs, GA 30350",4bd,4ba,745000,2855,933869.79
"3113 Lenox Rd   NE #5, Atlanta, GA 30324",3bd,4ba,800000,3300,1079429.17
"880 Oakhill Ave SW, Atlanta, GA 30310",3bd,3ba,440000,1600,523359.6
"1365 Custer Way SE, Atlanta, GA 30316",4bd,4ba,730000,3576,1169708.71
"1351 Paces Forest Dr NW, Atlanta, GA 30327",6bd,6ba,1375000,5850,1913533.54
"2530 Nevels Rd, Atlanta, GA 30349",3bd,4ba,269900,2341,765740.51
"Annalise Plan in Anatole, Atlanta, GA 30331",3bd,3ba,301000,1580,516817.6
"2226 Bigwood Trl, Atlanta, GA 30349",2bd,3ba,215000,1544,505042.01
"6585 Commonwood Pl, Atlanta, GA 30349",5bd,3ba,278000,2312,756254.62
"2164 Connally Dr, East Pt, GA 30344",3bd,2ba,220000,1440,471023.64
