Address,Beds,Baths,Price,SquareFoot,href,img
"55 Austin Pl #1D, Staten Island, NY 10304",2bd,1ba,285000,837,https://www.trulia.com/home/55-austin-pl-1d-staten-island-ny-10304-343807770,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/190a6eaa614e758ead34ce1f041ad4fb-full.jpg
"46 Bay 43 St, Brooklyn, NY 11214",Studio,2ba,1200000,1640,https://www.trulia.com/home/46-bay-43-st-brooklyn-ny-11214-30730668,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/ddb3426ab411c680f888adae46563bfb-full.jpg
"114-16 207th Street, Jamaica, NY 11411",3bd,2ba,545000,1596,https://www.trulia.com/home/11416-207th-st-jamaica-ny-11411-32158900,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/420c480e927e0cdbd15798dca5ee1374-full.jpg
"67-38 108th Street UNIT B53, Forest Hills, NY 11375",2bd,1ba,519999,1168,https://www.trulia.com/home/67-38-108th-st-b53-forest-hills-ny-11375-79729993,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/5fa1950de541212497d466234aecfe92-full.jpg
"12-60 150th Street, Whitestone, NY 11357",3bd,3ba,1100000,Undisclosed,https://www.trulia.com/home/12-60-150th-st-whitestone-ny-11357-343803376,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/4acc0a691475846a02d8b3efb37fe53c-full.jpg
"241-20 Northern Boulevard UNIT 5B, Little Neck, NY 11362",1bd,1ba,380000,900,https://www.trulia.com/home/241-20-northern-blvd-5b-little-neck-ny-11362-2080291394,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/23ab8b7c4c3bd758cc7cc95f7d7fd76e-full.jpg
"18519 80th Rd, Jamaica, NY 11432",4bd,3ba,1249000,1620,https://www.trulia.com/home/18519-80th-rd-jamaica-ny-11432-32080821,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/681f012c8c4caff01b684e8cb1ac47f1-full.jpg
"1942 Hone Avenue, Bronx, NY 10461",5bd,2ba,969900,2240,https://www.trulia.com/home/1942-hone-ave-bronx-ny-10461-29817754,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/7435b72f3d6a05aed92ff3cde1930400-full.jpg
"202 Watchogue Rd, Staten Island, NY 10314",3bd,2ba,649000,950,https://www.trulia.com/home/202-watchogue-rd-staten-island-ny-10314-32283368,https://maps.googleapis.com/maps/api/streetview?size=640x480&location=202%20Watchogue%20Rd%2C%20Staten%20Island%2C%20NY%2C%2010314%20Staten%20Island%20NY%2010314&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=p14xIjbHKpHzXkH21IALMGi7AQo%3D
"331 Willowbrook Rd, Staten Island, NY 10314",4bd,2ba,700000,1152,https://www.trulia.com/home/331-willowbrook-rd-staten-island-ny-10314-32283996,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/c8c67e17995ca3bbbc1311d262de5b61-full.jpg
"91 Kinghorn St, Staten Island, NY 10312",4bd,4ba,1150000,3110,https://www.trulia.com/home/91-kinghorn-st-staten-island-ny-10312-32350631,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/ef2b11397f22c370eee66dd6e6726569-full.jpg
"504 Grand St #F53, New York, NY 10002",2bd,1ba,729000,850,https://www.trulia.com/home/504-grand-st-f53-new-york-ny-10002-343781235,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/107602b7218c5a771c015a37df40fbbc-full.jpg
